year,month,day,avg_temp
2012,10,25,11.5
2012,10,26,10.5
2012,10,27,9.5
2012,10,28,4.0
2012,10,29,1.5
2012,10,30,3.0
2012,10,31,4.5
2012,11,1,6.5
2012,11,2,9.0
2012,11,3,11.5
2012,11,4,14.5
2012,11,5,9.5
2012,11,6,7.0
2012,11,7,7.0
2012,11,8,9.0
2012,11,9,7.5
2012,11,10,7.5
2012,11,11,9.0
2012,11,12,11.0
2012,11,13,8.0
2012,11,14,5.5
2012,11,15,6.5
2012,11,16,6.5
2012,11,17,6.5
2012,11,18,7.5
2012,11,19,7.0
2012,11,20,7.0
2012,11,21,7.0
2012,11,22,6.0
2012,11,23,6.0
2012,11,24,6.5
2012,11,25,7.0
2012,11,26,6.0
2012,11,27,9.0
2012,11,28,8.5
2012,11,29,8.0
2012,11,30,3.0
2012,12,1,3.0
2012,12,2,-0.5
2012,12,3,-2.0
2012,12,4,0.5
2012,12,5,-1.0
2012,12,6,-0.5
2012,12,7,-3.5
2012,12,8,-4.5
2012,12,9,-5.0
2012,12,10,-3.0
2012,12,11,-4.5
2012,12,12,-5.5
2012,12,13,-4.5
2012,12,14,-4.0
2012,12,15,0.0
2012,12,16,2.5
2012,12,17,0.5
2012,12,18,0.0
2012,12,19,-0.5
2012,12,20,1.0
2012,12,21,-0.5
2012,12,22,-0.5
2012,12,23,-1.5
2012,12,24,1.0
2012,12,25,3.0
2012,12,26,3.0
2012,12,27,1.5
2012,12,28,1.5
2012,12,29,0.0
2012,12,30,1.5
2012,12,31,1.0
2013,1,1,0.0
2013,1,2,0.5
2013,1,3,2.0
2013,1,4,4.0
2013,1,5,3.5
2013,1,6,0.0
2013,1,7,-0.5
2013,1,8,-0.5
2013,1,9,0.0
2013,1,10,0.5
2013,1,11,-2.0
2013,1,12,-3.0
2013,1,13,-3.0
2013,1,14,-1.0
2013,1,15,1.0
2013,1,16,-0.5
2013,1,17,-1.0
2013,1,18,-3.0
2013,1,19,-5.0
2013,1,20,-0.5
2013,1,21,2.0
2013,1,22,-2.5
2013,1,23,-1.5
2013,1,24,-1.5
2013,1,25,-4.0
2013,1,26,-4.5
2013,1,27,-3.5
2013,1,28,-3.5
2013,1,29,0.0
2013,1,30,3.0
2013,1,31,3.5
2013,2,1,4.5
2013,2,2,2.5
2013,2,3,-0.5
2013,2,4,-0.5
2013,2,5,2.0
2013,2,6,0.5
2013,2,7,-1.5
2013,2,8,0.0
2013,2,9,-1.0
2013,2,10,-3.5
2013,2,11,-3.5
2013,2,12,0.0
2013,2,13,-0.5
2013,2,14,-0.5
2013,2,15,1.0
2013,2,16,1.0
2013,2,17,1.5
2013,2,18,0.5
2013,2,19,0.5
2013,2,20,-1.0
2013,2,21,-0.5
2013,2,22,-0.5
2013,2,23,1.5
2013,2,24,3.5
2013,2,25,4.0
2013,2,26,7.0
2013,2,27,5.5
2013,2,28,7.5
2013,3,1,3.0
2013,3,2,3.5
2013,3,3,4.0
2013,3,4,5.5
2013,3,5,5.0
2013,3,6,10.0
2013,3,7,8.5
2013,3,8,11.0
2013,3,9,10.0
2013,3,10,9.5
2013,3,11,9.5
2013,3,12,10.0
2013,3,13,9.0
2013,3,14,0.5
2013,3,15,-4.5
2013,3,16,-1.0
2013,3,17,0.0
2013,3,18,2.0
2013,3,19,4.5
2013,3,20,9.0
2013,3,21,3.5
2013,3,22,2.5
2013,3,23,0.0
2013,3,24,-0.5
2013,3,25,-1.0
2013,3,26,-1.0
2013,3,27,1.0
2013,3,28,2.5
2013,3,29,1.5
2013,3,30,2.0
2013,3,31,5.0
2013,4,1,4.0
